id,basisOfRecord,occurrenceID,recordedBy,eventDate,islandGroup,country,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,identificationQualifier,scientificName,kingdom,family,taxonRank
plant-occurrences_raja-ampat_j-schrader_2020_196,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_196,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.51154,130.562918,WGS84,30,,Morinda citrifolia L.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_197,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_197,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.512876,130.560728,WGS84,30,,Planchonella obovata (R.Br.) Pierre,Plantae,Sapotaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_198,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_198,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.521507,130.580747,WGS84,30,,Geijera Schott,Plantae,Rutaceae,genus
plant-occurrences_raja-ampat_j-schrader_2020_199,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_199,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.519774,130.583095,WGS84,30,cf. Maytenus cupularis,Maytenus cupularis Ding Hou,Plantae,Celastraceae,species
plant-occurrences_raja-ampat_j-schrader_2020_2,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_2,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.520461,130.5808,WGS84,30,,Spathiostemon javensis Blume,Plantae,Euphorbiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_20,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_20,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516784,130.571887,WGS84,30,,Planchonella obovata (R.Br.) Pierre,Plantae,Sapotaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_200,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_200,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517399,130.584217,WGS84,30,,Exocarpos latifolius R.Br.,Plantae,Santalaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_201,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_201,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517399,130.584217,WGS84,30,,Ixora timorensis Decne.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_202,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_202,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.518895,130.583215,WGS84,30,,Exocarpos latifolius R.Br.,Plantae,Santalaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_203,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_203,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.518895,130.583215,WGS84,30,,Morinda citrifolia L.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_204,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_204,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516375,130.587596,WGS84,30,,Eugenia reinwardtiana (Blume) A.Cunn. ex DC.,Plantae,Myrtaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_205,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_205,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516375,130.587596,WGS84,30,,Cupaniopsis Radlk.,Plantae,Sapindaceae,genus
plant-occurrences_raja-ampat_j-schrader_2020_206,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_206,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515429,130.588068,WGS84,30,,Tarenna sambucina (G.Forst.) T.Durand ex Drake,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_207,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_207,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.514186,130.587698,WGS84,30,,Guettarda speciosa L.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_208,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_208,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.514186,130.587698,WGS84,30,,Wikstroemia androsaemifolia Decne.,Plantae,Thymelaeaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_209,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_209,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517587,130.568534,WGS84,30,,Calophyllum inophyllum L.,Plantae,Clusiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_21,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_21,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516795,130.570633,WGS84,30,,Eugenia reinwardtiana (Blume) A.Cunn. ex DC.,Plantae,Myrtaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_210,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_210,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516626,130.572132,WGS84,30,,Phyllanthus praelongipes Airy Shaw & G.L.Webster,Plantae,Phyllanthaceae,species
